run,split,step,metric,value
Reward v2,train,2,critic/returns/min,-1.4999970197677612
Reward v2,train,2,critic/returns/mean,-0.311007022857666
Reward v2,train,2,response_length/mean,658.7265625
Reward v2,train,2,response_length/max,1024.0
Reward v2,train,2,response_length/min,157.0
Reward v2,train,2,response_length/clip_ratio,0.4375
Reward v2,train,2,response_length_non_aborted/mean,658.7265625
Reward v2,train,2,response_length_non_aborted/max,1024.0
Reward v2,train,2,response_length_non_aborted/min,157.0
Reward v2,train,2,response_length_non_aborted/clip_ratio,0.4375
Reward v2,train,2,response/aborted_ratio,0.0
Reward v2,train,2,prompt_length/mean,355.15625
Reward v2,train,2,prompt_length/max,377.0
Reward v2,train,2,prompt_length/min,342.0
Reward v2,train,2,prompt_length/clip_ratio,0.0
Reward v2,train,2,num_turns/min,4.0
Reward v2,train,2,num_turns/max,6.0
Reward v2,train,2,num_turns/mean,4.375
Reward v2,train,2,reward_v2/answer_reward/mean,0.08854166666666666
Reward v2,train,2,reward_v2/marginal_evidence_reward/mean,0.5546875
Reward v2,train,2,reward_v2/current_beta/mean,0.09836065573770496
Reward v2,train,2,reward_v2/wasted_search_count/mean,0.078125
Reward v2,train,2,reward_v2/wasted_search_penalty/mean,0.0003125
Reward v2,train,2,reward_v2/total_reward/mean,0.1427885928961749
Reward v2,train,2,reward_v2/search_count/mean,1.1875
Reward v2,train,2,reward_v2/useful_search_count/mean,1.109375
Reward v2,train,2,reward_v2/unique_support_count/mean,1.109375
Reward v2,train,2,reward_v2/multi_search/mean,0.1875
Reward v2,train,2,reward_v2/evidence_gain_per_search/mean,0.478515625
Reward v2,train,2,reward_v2/repeated_search_count/mean,0.0
Reward v2,train,2,timing_s/start_profile,5.2055343985557556e-05
Reward v2,train,2,timing_s/agent_loop/generate_sequences/min,1.415710687637329
Reward v2,train,2,timing_s/agent_loop/generate_sequences/max,74.09686572477221
Reward v2,train,2,timing_s/agent_loop/generate_sequences/mean,31.806388984710793
Reward v2,train,2,timing_s/agent_loop/tool_calls/min,0.0006024353206157684
Reward v2,train,2,timing_s/agent_loop/tool_calls/max,0.008432690054178238
Reward v2,train,2,timing_s/agent_loop/tool_calls/mean,0.002287739858729765
Reward v2,train,2,timing_s/agent_loop/slowest/generate_sequences,74.09686572477221
Reward v2,train,2,timing_s/agent_loop/slowest/tool_calls,0.001878572627902031
Reward v2,train,2,timing_s/agent_loop/slowest/prompt_length,343.0
Reward v2,train,2,timing_s/agent_loop/slowest/response_length,1024.0
Reward v2,train,2,timing_s/gen,84.5490378215909
Reward v2,train,2,timing_s/reward,0.06812919117510319
Reward v2,train,2,timing_s/old_log_prob,53.23539782129228
